ID;dart;x;y;z
545;4252;0.808394;0.216506;0.334848
158;1156;-0.158786;0.125;-1.2061
377;2908;-0.532667;0.216506;0.694184
63;396;0.892523;0.216506;-0.684856
54;324;0.678525;0.125;-0.391747
75;492;0.795495;0.216506;-0.795495
409;3170;-0.323524;-0;1.20741
68;436;0.621587;-0.125;-0.476961
248;1876;-0.678525;-0.125;-0.391747
140;1012;0.102266;-0.125;-0.776791
484;3764;0.5;0.25;0.866025
21;76;1.11538;-0.216506;-0.146842
493;3842;0.760952;-0;0.991692
170;1252;-0.314855;0.125;-1.17506
495;3852;0.684856;0.216506;0.892523
210;1572;-0.476961;0.125;-0.621587
64;404;0.793353;0.25;-0.608761
31;140;0.724444;0;-0.194114
316;2420;-0.965926;0.25;0.258819
201;1500;-0.4375;-0.216506;-0.757772
77;508;0.618718;0.216506;-0.618719
57;348;0.757772;-0.216506;-0.4375
437;3388;0;0.216506;0.875
172;1268;-0.258819;0.25;-0.965926
159;1164;-0.146842;0.216506;-1.11538
361;2786;-0.883884;-0;0.883883
455;3532;0.146842;-0.216506;1.11538
122;868;0.314855;0.125;-1.17506
468;3636;0.314854;-0.125;1.17506
234;1764;-0.621587;0.125;-0.476961
82;548;0.707107;-0.25;-0.707107
261;1980;-0.808395;-0.216506;-0.334848
41;220;0.808395;0.216506;-0.334848
509;3964;0.618718;0.216506;0.618719
86;580;0.740562;0.125;-0.965119
406;3140;-0.382684;-0.25;0.92388
89;604;0.532666;0.216506;-0.694184
116;820;0.29983;-0.125;-0.723854
242;1828;-1.05352;0.125;-0.608253
81;540;0.618718;-0.216506;-0.618719
36;180;1.17506;-0.125;-0.314855
95;652;0.684857;-0.216506;-0.892522
127;908;0.194114;0;-0.724444
72;468;0.965119;-0.125;-0.740562
97;674;0.625;0;-1.08253
400;3092;-0.382684;0.25;0.92388
163;1196;-0.097895;0;-0.743584
16;54;0.783494;-0.125;-0
447;3468;0.146842;0.216506;1.11538
108;756;0.608253;-0.125;-1.05352
306;2340;-0.776791;0.125;0.102267
110;772;0.465537;0.125;-1.1239
99;684;0.5625;0.216506;-0.974279
98;676;0.608253;0.125;-1.05352
517;4034;0.991692;-0;0.760952
119;844;0.430519;-0.216506;-1.03936
6;14;1.125;0.216506;0
450;3492;0.102266;0.125;0.776791
90;612;0.476961;0.125;-0.621587
96;660;0.740562;-0.125;-0.965119
540;4212;1.05352;-0.125;0.608253
347;2668;-0.974279;-0.216506;0.5625
121;866;0.323524;0;-1.20741
83;556;0.795495;-0.216506;-0.795495
415;3212;-0.194115;-0;0.724444
125;892;0.226467;0.216506;-0.845185
428;3316;-0.102267;-0.125;0.776791
549;4284;0.808394;-0.216506;0.334848
246;1860;-0.678525;0.125;-0.391747
346;2660;-0.866026;-0.25;0.5
543;4236;1.03936;0.216506;0.430519
113;796;0.334848;0.216506;-0.808394
33;156;0.845185;-0.216506;-0.226467
259;1964;-0.69291;0;-0.287013
260;1972;-0.723854;-0.125;-0.29983
26;100;1.17506;0.125;-0.314855
262;1988;-0.92388;-0.25;-0.382683
263;1996;-1.03936;-0.216506;-0.430519
574;4484;0.991445;-0.25;0.130526
472;3668;0.382684;0.25;0.923879
264;2004;-1.1239;-0.125;-0.465537
