ID;dart
937;3693
276;1051
41;109
636;2491
505;1965
237;893
272;1035
443;1717
906;3571
268;1019
266;1011
889;3501
1004;3963
265;1005
246;931
490;1907
80;267
1050;4147
871;3429
262;995
410;1587
971;3829
260;987
1143;4525
254;963
501;1949
407;1573
663;2597
582;2275
56;171
287;1093
44;123
205;769
275;1045
548;2139
900;3547
292;1115
357;1373
1122;4435
346;1331
183;677
568;2219
990;3907
450;1747
283;1077
1005;3965
28;71
848;3339
504;1963
989;3901
240;907
451;1749
1118;4419
111;389
187;693
825;3245
101;349
472;1835
95;325
424;1643
134;483
89;301
493;1921
791;3109
528;2059
115;405
351;1349
17;43
99;341
824;3243
460;1787
232;875
156;571
1038;4099
375;1445
452;1755
426;1651
184;683
324;1243
672;2635
381;1469
425;1645
69;221
368;1419
136;491
458;1779
797;3133
124;443
632;2475
863;3397
380;1467
396;1531
85;289
117;413
113;397
12;29
526;2051
355;1365
15;37
212;795
613;2401
432;1675
969;3821
218;819
515;2005
855;3365
249;941
778;3059
799;3141
100;347
641;2509
76;251
21;53
74;243
190;707
298;1139
1076;4251
72;235
818;3219
976;3851
1067;4213
358;1379
338;1299
811;3189
936;3691
485;1885
68;219
235;885
484;1883
67;213
742;2915
152;555
968;3819
127;453
530;2067
941;3709
995;3925
507;1973
64;203
978;3859
114;403
46;131
125;445
62;195
31;79
334;1283
815;3205
61;193
807;3173
1072;4235
79;261
565;2209
317;1213
135;485
238;899
43;117
150;547
379;1461
22;55
476;1851
112;395
366;1411
578;2259
1028;4059
16;39
1120;4427
429;1661
333;1277
660;2587
539;2101
513;1997
229;865
893;3517
1;1
59;181
231;869
912;3595
233;877
788;3099
140;507
981;3869
411;1589
454;1763
26;67
84;283
849;3341
697;2733
39;101
746;2931
45;125
310;1187
271;1029
20;51
86;291
916;3611
51;149
563;2197
105;365
243;917
90;307
4;7
447;1733
279;1061
209;781
419;1621
428;1659
195;725
736;2891
188;699
749;2941
47;133
284;1083
1111;4389
129;461
220;827
705;2765
378;1459
361;1389
674;2643
307;1173
630;2467
732;2875
809;3181
171;629
122;435
102;355
73;237
93;317
644;2523
301;1153
147;533
1079;4261
48;139
77;253
164;603
517;2017
497;1933
